CustomerID,FirstName,LastName,Address,City,Country,Email,PhoneNumber,AccountID,AccountType,Balance,CardID,CardType,ExpiryDate,LoanID,LoanType,LoanAmount,InterestRate,LoanTerm,
500000001,Sivabharathi,Dhatchinamoorthi,123 Main St,Athlone,Ireland,siva.dhat@email.com,+353123456789,600000001,Savings,11500.25,1,Debit,2023-12-31,1,Personal Loan,5000.00,5.50,24,
500000001,Sivabharathi,Dhatchinamoorthi,123 Main St,Athlone,Ireland,siva.dhat@email.com,+353123456789,600000051,Checking,14800.00,null,null,null,null,null,null,null,null,
500000002,Roger,Young,456 Oak St,Athlone,Ireland,roger.young@email.com,+353987654321,600000002,Savings,91000.50,2,Credit,2024-01-31,2,Car Loan,15000.00,4.00,36,
500000003,Michael,Johnson,789 Elm St,Athlone,Ireland,michael.johnson@email.com,+353111223344,600000003,Savings,12000.75,3,Debit,2023-11-30,3,Home Loan,100000.00,3.75,240,
500000004,Emily,Williams,101 Pine St,Athlone,Ireland,emily.williams@email.com,+353555667788,600000004,Checking,11500.30,4,Credit,2023-10-31,4,Personal Loan,3000.00,6.00,12,
500000005,Christopher,Jones,202 Cedar St,Athlone,Ireland,christopher.jones@email.com,+353999888777,600000005,Savings,13000.60,5,Debit,2024-02-28,5,Car Loan,20000.00,3.90,48,
500000006,Ava,Davis,303 Birch St,Athlone,Ireland,ava.davis@email.com,+353222333444,600000006,Checking,11200.40,6,Credit,2023-09-30,6,Home Loan,120000.00,3.50,360,
500000007,David,Taylor,404 Maple St,Athlone,Ireland,david.taylor@email.com,+353777666555,600000007,Savings,1800.75,7,Debit,2023-08-31,7,Personal Loan,7000.00,5.75,36,
500000008,Sophia,Anderson,505 Walnut St,Athlone,Ireland,sophia.anderson@email.com,+353444555666,600000008,Checking,12500.20,8,Credit,2024-03-31,8,Car Loan,18000.00,4.20,60,
500000009,James,Harris,606 Chestnut St,Athlone,Ireland,james.harris@email.com,+353666777888,600000009,Savings,1600.80,9,Debit,2023-07-31,9,Home Loan,90000.00,3.25,180,
500000010,Olivia,Clark,707 Ash St,Athlone,Ireland,olivia.clark@email.com,+353333444555,600000010,Checking,11800.10,10,Credit,2023-06-30,10,Personal Loan,4500.00,6.25,18,
500000011,Emma,Lewis,808 Beech St,Athlone,Ireland,emma.lewis@email.com,+353888999000,600000011,Savings,13500.45,11,Debit,2024-04-30,11,Car Loan,25000.00,3.80,72,
500000012,Logan,Lee,909 Pineapple St,Athlone,Ireland,logan.lee@email.com,+353123456789,600000012,Checking,1900.30,12,Credit,2023-05-31,12,Home Loan,150000.00,3.00,300,
500000013,Lucas,Wright,111 Banana St,Athlone,Ireland,lucas.wright@email.com,+353987654321,600000013,Savings,11000.25,13,Debit,2023-04-30,13,Personal Loan,2500.00,6.50,12,
500000014,Mia,Perez,222 Orange St,Athlone,Ireland,mia.perez@email.com,+353111223344,600000014,Checking,1300.50,14,Credit,2023-03-31,14,Car Loan,17000.00,4.50,54,
500000015,Ethan,Turner,333 Grape St,Athlone,Ireland,ethan.turner@email.com,+353555667788,600000015,Savings,12200.75,15,Debit,2024-05-31,15,Home Loan,80000.00,3.40,240,
